Plugin,Description
https://wordpress.org/plugins/hero-banner-slider/,Hero Banner Slider
https://wordpress.org/plugins/kenzap-pricing/,Kenzap Pricing
https://wordpress.org/plugins/maximum-width-container/,Max width container
https://wordpress.org/plugins/pinblocks/,Pinblocks — Gutenberg blocks with Pinterest widgets
https://wordpress.org/plugins/simple-alert-blocks/,Simple Alert Blocks
https://wordpress.org/plugins/wplyr-media-block/,WPlyr Media Block
https://wordpress.org/plugins/guten-bubble/,Guten-bubble
https://wordpress.org/plugins/video-block-with-ads/,Video Block with Ads
https://wordpress.org/plugins/listicles/,Listicles by LezWatch.TV
https://wordpress.org/plugins/block-profile-card/,Profile Card Block
https://wordpress.org/plugins/wicked-block-conditions/,Wicked Block Conditions
https://wordpress.org/plugins/dispensary-blocks/,Dispensary Blocks
https://wordpress.org/plugins/lyrics-block/,Lyrics
https://wordpress.org/plugins/video-playlist-lite/,Player with Playlist Block for WordPress Editor
https://wordpress.org/plugins/woolook/,Woocommerce Blocks – Woolook
https://wordpress.org/plugins/recent-posts-block/,Recent Posts block
https://wordpress.org/plugins/pricing-tables-block/,Pricing Tables Block
https://wordpress.org/plugins/double-image/,Double Image for Gutenberg
https://wordpress.org/plugins/fd-buttons-gutenberg/,Buttons for Gutenberg
https://wordpress.org/plugins/shortcode-with-preview-block/,Shortcode Preview Block
https://wordpress.org/plugins/social-media-block/,Social Media Block
https://wordpress.org/plugins/gosign-vimeo-video-player-block/,Gosign – Vimeo Video Player Block
https://wordpress.org/plugins/gosign-post-teaser-block/,Gosign – Post Teaser Block
https://wordpress.org/plugins/questionpro-surveys/,QuestionPro Surveys
