Slug,Name,Rating,Downloaded,Tested
flitpay,Flitpay Payments for WordPress,0,204,
edd-mark-as-add-on,EDD Mark As Addon,0,209,4.9.12
easy-country-spam-blocker,Easy Country Spam Blocker,0,29,5.1.3
wp-bunvc,WP BunVC,0,374,4.9.12
custom-widget-post,Custom Widget Post,100,366,5.2.4
really-simple-under-construction,Really Simple Under Construction Page,0,223,5.0.7
melonpan-block-post-title,Melonpan Block &#8211; Post Title,0,73,5.2.4
wp-live-post-search,WP Live Post Search,0,91,5.1.3
sophia-twitter-auto-post,Sophia Twitter Auto Post,0,160,5.0.7
infinite-related-next-post-manager,Infinite Related Next Post Manager for WordPress,0,289,5.1.3
wxp-passwords,Wxp Passwords,0,275,4.9.12
easy-pixels-ecommerce-extension-by-jevnet,Easy Pixels eCommerce extension,0,187,5.2.4
tutexp-rest-api-menu,Tutexp Rest Api Menu,100,218,4.8.11
whelp-live-chat,Whelp Live Chat,0,102,5.1.3
categories-gallery-woocommerce,Woocommerce Categories in gallery format,0,365,4.7.15
easymanage,Easymanage,0,70,5.2.4
gol-ibe-search-form,GOL IBE Search Form,0,15,5.2.4
zedna-contact-form,Zedna Contact form,0,70,5.2.4
isv-connect,ISV Connect,0,235,4.9.12
cd-nutritional,CD Nutritional Facts,0,64,5.2.4
calumma-custom,Calumma Custom,0,460,4.9.12
jigoshop-payflow-gateway,Jigoshop PayPal Payflow Gateway,0,314,4.8.11
ctanfor-anti-spam,***** Ctanfor Anti-Spam *****,0,71,5.2.4
tomek-members-only-reloaded,Tomek Members Only Reloaded,0,90,4.9.12
vicap,Vicap,0,237,4.9.12
easy-wp-tweet,Easy WP Tweet,0,220,4.9.x
external-link-gate,External Link Gate,0,79,5.2.4
bbp-auto-block-spammers,bbP Auto Block Spammers,100,243,5.2.4
wp-login-form-with-recaptcha,googlerecaptcha,100,122,5.0.7
cm-fipe,CM Consulta Fipe,100,83,
newsletter-subscriptions,Newsletter Subscriptions,0,117,5.2.4
useresponse-feedback-widget,UseResponse Feedback Widget,0,83,5.1.3
sage-slider,Sage Slider,0,303,5.2.4
wp-dev-powers-acf-color-coded-field-types,WordPress Dev Powers &#8211; ACF Color Coded Field Types Plugin,100,130,5.2.4
ajax-message,Ajax Message,0,275,5.2.4
voco-chat,Voco Chat,0,151,4.9.12
sync-wp-steem-comments,Sync WP Steem Comments,0,206,4.7.15
house-ads,House Ads,0,104,5.0.7
alpharage-testimonials,WP Client Testimonials,100,215,4.9.12
woo-fbbce,WooCommerce Force Booking Before Coupon Expiration,0,148,4.9.12
chat-opener-for-hubspot,Chat opener for Hubspot,0,75,5.2.4
import-users-to-icontact,Import Users to IContact,94,250,4.8.11
vertimenu,VertiMenu,0,184,5.0.7
nitek-carousel-cool-transitions,Nitek Carousel Slider Cool Transitions,100,198,4.9.12
launchpage-app-importer,LaunchPage.app Importer,0,107,4.9.12
inserter,Inserter,0,277,4.9.12
lootly-for-woocommerce,Lootly Loyalty &amp; Rewards,0,89,5.2.4
liner-in-site,LINER In-Site,0,305,4.9.12
auto-dashboard-language,Auto Dashboard Language,0,186,4.9.12
wp-css-and-js-code,WP Css and Js Code,0,72,5.2.4
get-country-from-ip,Get Country From IP,0,110,4.9.12
hosting-review-modules-for-live-composer,Hosting Review Modules for Live Composer,0,242,4.8.11
taro-clockwork-post,Taro Clockwork Post,0,371,4.8.11
mx-pagebuilder-html,MX PageBuilder HTML,0,56,5.0.7
wp-404-page-management,WP 404 Page Management,0,212,4.9.12
wp-survey-form,WP Survey Form,0,198,5.1.3
post-and-page-specific-product-ads,Post and Page Specific Product Ads,0,297,4.9.12
wp-food-menu-api,WP Food Menu API,0,137,5.0.7
optimum-review-feed,Optimum Review Feed,0,243,3.4.2
beapi-plugins-require-wp-at-least,Be API Plugins Require WP at Least,0,159,4.9.12
wp-sso-server,wp-sso-server,0,214,4.9.12
wp-statistics-and-analytics,WP Statistics and Analytics,0,246,4.9.12
bizcalendar-web,BizCalendar Web,0,393,5.2.4
dropdown-smu-style,Dropdown SMU Link,0,110,4.9.12
promotator,Promotator,0,279,4.8.11
admin-in-menu,Admin in menu,0,784,4.9.12
fix-google-newsstand-missing-images,Fix Google Newsstand Missing Images,0,76,5.2.4
make-my-work-better-by-workinconfidence,Make My Work Better Widget,0,87,5.0.7
narwhal-microblog,Narwhal Microblog,100,147,5.2.4
woo-bought-products,Woocommerce Bought Products,0,109,5.0.7
danixland-wporg-stats,danixland-wporg-stats,0,145,4.9.12
q-shortcodes,q-Shortcodes,0,214,5.2.4
embed-sweethome3d,SweetHome3D-Embed,0,127,4.7.15
croolle-analytics,Croolle Analytics,100,99,5.0.7
wp-author-bio-wedo,Author Bio wedo,0,166,4.7.15
developer-tool,Developer Tool,0,206,5.2.4
taxonomy-terms-grid,Taxonomy Terms Grid,0,71,5.2.4
custom-reorder-manager,Custom Reorder Manager,100,302,4.9.12
wp-codemirror-themes,WP CodeMirror Themes,0,88,5.0.7
simple-livetex,Simple LiveTex,0,128,4.9.12
mt-web-rating,MT Web Rating,0,119,4.9.12
klarity-progress-bar-block,Progress bar block,0,295,5.0.7
html5-code-editor,HTML5 Code editor,0,79,5.2.4
ga-for-content-marketers,Google Analytics For Content Marketers,0,308,4.8.11
gbs-product-catalog,GBS Product Catalog,0,342,4.9.12
newer-tag-cloud,Newer Tag Cloud,20,379,4.7.15
modal-block,Modal Guten Block,0,61,5.2.4
digilan-token,Digilan Token,100,68,4.9.12
wp-login-ajaxify,WP Login Ajaxify,100,160,4.9.12
majestictheme-widgets,MajesticTheme Widgets,0,226,4.9.12
bwl-poll-manager-lite,BWL Poll Manager Lite,0,128,5.1.3
content-after-login,Content visibility manager,100,232,4.8.11
joinup-recruiting-bot,JoinUp recruiting bot,0,137,4.9.12
codedrill-single-image-upload,CodeDrill Single Image Upload,0,230,4.7.15
wp-commission,WP Commission,74,345,4.9.12
header-footer-composer,Header Footer Composer for Elementor,0,158,5.2.4
whois-xml-api-whois,Whois XML API Whois,0,158,5.0.7
advanced-dashboard-cleaner,Advanced Dashboard Cleaner for WordPress,100,86,5.2.4
wp-document-automation,WordPress Document Automation,0,191,5.2.4
cbxwpemaillogger,CBX Email SMTP &amp; Logger,0,125,5.2.4
eofdsupport,Фискализация чеков е-ОФД,0,47,5.0.7
willing2buy,Willing2Buy Price Suggestion,100,230,4.7.15
unloct,Unloct,0,32,
4-author-cheer-up-donate,4 author cheer up donate,0,519,4.8.11
intelichat-contentbot,Intelichat Contentbot,0,139,5.1.3
advanced-hover-effects-image-wpbakery,Advanced Hover Effects On Image Wpbeckary(Visual Composer),0,158,5.0.7
super-simple-quiz,Super Simple Quiz,0,37,5.2.4
zoospas-project-for-hakaton,Zoospas,100,247,5.2.4
