Accum,wp44,wp45,wp46,wp47,wpnr,wpnc
90,96.459459459459,96.513513513513,96.378378378378,96.27027027027,96.283783783784,96.356275303644
91,96.459459459459,96.513513513513,96.405405405405,96.405405405405,96.418918918919,96.356275303644
94,96.594594594595,96.621621621622,96.405405405405,96.405405405405,96.418918918919,96.356275303644
95,96.594594594595,96.756756756757,96.540540540541,96.405405405405,96.418918918919,96.491228070175
96,96.891891891892,96.891891891892,96.540540540541,96.567567567568,96.554054054054,96.491228070175
97,97.027027027027,97.054054054054,96.702702702703,96.594594594595,96.554054054054,96.626180836707
98,97.27027027027,97.189189189189,97.027027027027,96.72972972973,96.689189189189,97.031039136302
99,97.405405405405,97.378378378378,97.216216216216,97.027027027027,97.027027027027,97.165991902834
100,97.540540540541,97.513513513513,97.378378378378,97.216216216216,97.22972972973,97.300944669366
101,97.594594594595,97.702702702703,97.513513513513,97.378378378378,97.364864864865,97.435897435897
102,97.783783783784,97.810810810811,97.756756756757,97.513513513514,97.5,97.705802968961
103,97.783783783784,97.837837837838,97.783783783784,97.72972972973,97.77027027027,97.705802968961
104,97.891891891892,98.081081081081,97.783783783784,97.783783783784,97.77027027027,97.705802968961
105,98.162162162162,98.243243243243,98.189189189189,97.783783783784,97.77027027027,98.110661268556
106,98.162162162162,98.243243243243,98.189189189189,98.189189189189,98.175675675676,98.110661268556
107,98.432432432432,98.405405405405,98.216216216216,98.189189189189,98.175675675676,98.110661268556
108,98.432432432432,98.513513513513,98.486486486486,98.189189189189,98.175675675676,98.380566801619
109,98.432432432432,98.513513513513,98.486486486486,98.459459459459,98.445945945946,98.380566801619
111,98.567567567568,98.594594594595,98.486486486486,98.459459459459,98.445945945946,98.380566801619
112,98.567567567568,98.648648648649,98.621621621622,98.459459459459,98.445945945946,98.515519568151
113,98.567567567568,98.648648648649,98.621621621622,98.594594594595,98.581081081081,98.515519568151
114,98.567567567568,98.72972972973,98.621621621622,98.594594594595,98.581081081081,98.515519568151
115,98.702702702703,98.783783783784,98.756756756757,98.594594594595,98.581081081081,98.650472334683
